STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VS160262,MYBVS1602628,LDF3 IMTN 5.640% 22.08.2031,16-OCT-2020,4.485,4.413,4.341,109.83,110.482,111.139,8.163,82.459,.001,.001,.001,-.011,-.011,-.011,2
VT160263,MYBVT1602634,LDF3 IMTN 5.770% 23.08.2032,16-OCT-2020,4.566,4.494,4.422,110.92,111.62,112.325,8.674,94.261,0,0,0,-.002,-.002,-.002,2.7
VU160264,MYBVU1602640,LDF3 IMTN 5.860% 23.08.2033,16-OCT-2020,4.639,4.567,4.495,111.714,112.459,113.209,9.16,106.387,0,0,0,-.002,-.002,-.002,2.3
VV160265,MYBVV1602655,LDF3 IMTN 5.950% 23.08.2034,16-OCT-2020,4.73,4.658,4.586,112.288,113.073,113.865,9.608,118.545,0,0,0,-.002,-.002,-.002,2
VW160266,MYBVW1602661,LDF3 IMTN 6.040% 23.08.2035,16-OCT-2020,4.812,4.74,4.668,112.918,113.742,114.573,10.027,130.748,-.001,-.001,-.001,.01,.01,.009,2
VX160267,MYBVX1602677,LDF3 IMTN 6.130% 22.08.2036,16-OCT-2020,4.913,4.841,4.769,113.285,114.143,115.01,10.405,142.693,.001,.001,.001,-.014,-.014,-.013,2
VY160268,MYBVY1602683,LDF3 IMTN 6.230% 21.08.2037,16-OCT-2020,5.001,4.929,4.857,113.874,114.765,115.666,10.753,154.47,.003,.003,.003,-.038,-.039,-.039,2
VZ160269,MYBVZ1602698,LDF3 IMTN 6.330% 23.08.2038,16-OCT-2020,5.11,5.028,4.946,114.167,115.216,116.277,11.075,166.076,.005,.005,.005,-.065,-.066,-.067,0
VZ160270,MYBVZ1602706,LDF3 IMTN 6.430% 23.08.2039,16-OCT-2020,5.204,5.132,5.06,114.606,115.554,116.512,11.36,177.17,.007,.007,.007,-.093,-.094,-.095,2
VI160277,MYBVI1602777,LPPSA IMTN 3.600% 21.09.2021 - Tranche No 2,16-OCT-2020,1.912,1.867,1.822,101.55,101.592,101.634,.914,1.293,-.021,-.021,-.021,.015,.015,.015,0
VI170144,MYBVI1701447,LPPSA IMTN 4.170% 15.04.2022 - Tranche No 7,16-OCT-2020,1.985,1.95,1.915,103.208,103.26,103.313,1.453,2.855,-.021,-.021,-.021,.026,.025,.026,2
VI170247,MYBVI1702478,LPPSA IMTN 4.080% 07.09.2022 - Tranche No 14,16-OCT-2020,2.049,2.004,1.959,103.751,103.836,103.921,1.817,4.264,-.021,-.021,-.021,.035,.034,.034,0
VI180132,MYBVI1801320,LPPSA IMTN 4.100% 05.04.2023 - Tranche No 18,16-OCT-2020,2.109,2.064,2.019,104.767,104.878,104.989,2.35,6.817,-.012,-.012,-.012,.025,.025,.025,0
VK160278,MYBVK1602781,LPPSA IMTN 3.830% 21.09.2023 - Tranche No 3,16-OCT-2020,2.143,2.113,2.083,104.767,104.855,104.942,2.769,9.259,-.002,-.002,-.002,.001,.002,.001,3
