STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VF200231,MYBVF2002312,PLNG2 IMTN 2.120% 21.10.2022 - Tranche No 2,5-Nov-20,2.226,2.178,2.13,99.797,99.889,99.98,1.907,4.614,0.069,0.069,0.069,-0.132,-0.132,-0.132,0
VG200232,MYBVG2002328,PLNG2 IMTN 2.220% 20.10.2023 - Tranche No 3,5-Nov-20,2.337,2.289,2.241,99.667,99.803,99.94,2.842,9.624,0.079,0.079,0.079,-0.224,-0.225,-0.225,0
VH200233,MYBVH2002334,PLNG2 IMTN 2.370% 21.10.2024 - Tranche No 4,5-Nov-20,2.482,2.434,2.386,99.58,99.759,99.939,3.753,16.307,0.08,0.08,0.08,-0.299,-0.301,-0.302,0
VI200234,MYBVI2002340,PLNG2 IMTN 2.490% 21.10.2025 - Tranche No 5,5-Nov-20,2.59,2.552,2.514,99.537,99.712,99.888,4.632,24.504,0.079,0.079,0.079,-0.365,-0.366,-0.367,2.3
VJ200235,MYBVJ2002355,PLNG2 IMTN 2.670% 21.10.2026 - Tranche No 6,5-Nov-20,2.787,2.739,2.691,99.361,99.622,99.884,5.467,33.99,0.086,0.086,0.086,-0.469,-0.471,-0.472,0
VK200236,MYBVK2002361,PLNG2 IMTN 2.760% 21.10.2027 - Tranche No 7,5-Nov-20,2.883,2.835,2.787,99.229,99.529,99.83,6.281,44.829,0.09,0.09,0.09,-0.563,-0.565,-0.567,0
VL200237,MYBVL2002377,PLNG2 IMTN 2.860% 20.10.2028 - Tranche No 8,5-Nov-20,2.981,2.933,2.885,99.148,99.485,99.823,7.057,56.734,0.083,0.083,0.083,-0.583,-0.585,-0.587,0
VM200238,MYBVM2002383,PLNG2 IMTN 2.920% 19.10.2029 - Tranche No 9,5-Nov-20,3.032,2.984,2.936,99.127,99.499,99.874,7.813,69.794,0.067,0.067,0.067,-0.52,-0.524,-0.525,0
VN200239,MYBVN2002399,PLNG2 IMTN 2.980% 21.10.2030 - Tranche No 10,5-Nov-20,3.089,3.041,2.993,99.071,99.478,99.888,8.546,83.926,0.051,0.051,0.051,-0.433,-0.436,-0.437,0
VO200240,MYBVO2002405,PLNG2 IMTN 3.090% 21.10.2031 - Tranche No 11,5-Nov-20,3.189,3.141,3.093,99.089,99.529,99.971,9.218,98.432,0.038,0.038,0.038,-0.348,-0.35,-0.352,0
VP200241,MYBVP2002410,PLNG2 IMTN 3.160% 21.10.2032 - Tranche No 12,5-Nov-20,3.273,3.225,3.177,98.888,99.358,99.831,9.872,113.78,0.029,0.029,0.029,-0.284,-0.286,-0.287,0
VQ200242,MYBVQ2002426,PLNG2 IMTN 3.240% 21.10.2033 - Tranche No 13,5-Nov-20,3.361,3.313,3.265,98.736,99.235,99.737,10.486,129.55,0.024,0.024,0.024,-0.249,-0.25,-0.252,0
VR200243,MYBVR2002432,PLNG2 IMTN 3.310% 20.10.2034 - Tranche No 14,5-Nov-20,3.44,3.392,3.344,98.568,99.093,99.622,11.07,145.751,0.021,0.021,0.021,-0.229,-0.231,-0.233,0
VS200244,MYBVS2002448,PLNG2 IMTN 3.410% 19.10.2035 - Tranche No 15,5-Nov-20,3.548,3.5,3.452,98.408,98.958,99.511,11.596,161.74,0.02,0.02,0.02,-0.229,-0.23,-0.232,0
VT200245,MYBVT2002453,PLNG2 IMTN 3.490% 21.10.2036 - Tranche No 16,5-Nov-20,3.627,3.579,3.531,98.35,98.924,99.502,12.112,178.371,0.019,0.019,0.019,-0.227,-0.228,-0.23,0
VU200246,MYBVU2002469,PLNG2 IMTN 3.560% 21.10.2037 - Tranche No 17,5-Nov-20,3.687,3.639,3.591,98.408,99.006,99.608,12.603,195.183,0.02,0.02,0.02,-0.248,-0.25,-0.252,0
VV200247,MYBVV2002475,PLNG2 IMTN 3.620% 21.10.2038 - Tranche No 18,5-Nov-20,3.748,3.7,3.652,98.337,98.956,99.58,13.069,212.142,0.019,0.019,0.019,-0.244,-0.246,-0.248,0
VW200248,MYBVW2002481,PLNG2 IMTN 3.680% 21.10.2039 - Tranche No 19,5-Nov-20,3.808,3.76,3.712,98.281,98.921,99.566,13.505,229.052,0.02,0.02,0.02,-0.266,-0.268,-0.27,0
VX200249,MYBVX2002497,PLNG2 IMTN 3.740% 19.10.2040 - Tranche No 20,5-Nov-20,3.868,3.82,3.772,98.23,98.889,99.553,13.907,245.667,0.02,0.02,0.02,-0.274,-0.276,-0.278,0
